Product_ID,Product_Name,Category,Price (INR),Occasion
P049,New Year Mini Teddy - Standard,Soft Toys,1309,New Year
P050,All Occasions Luxury Box - Deluxe,Gifts,1555,All Occasions
P051,Valentine's Day Mini Teddy - Standard,Soft Toys,1316,Valentine's Day
P052,Christmas Mixed Flowers - Deluxe,Flowers,1045,Christmas
P053,Father Day Mug - Deluxe,Gifts,1418,Father Day
P054,Holi Orchid Plant - Deluxe,Plants,543,Holi
P055,Anniversary Vanilla Cake - Standard,Cakes,722,Anniversary
P056,Father Day Orchid Plant - Deluxe,Plants,704,Father Day
P057,Holi Gift Hamper - Standard,Gifts,1450,Holi
P058,Raksha Bandhan Black Forest - Premium,Cakes,891,Raksha Bandhan
P059,Christmas Luxury Box - Premium,Gifts,1412,Christmas
P060,New Year Lilies - Premium,Flowers,843,New Year
P061,Anniversary Money Plant - Premium,Plants,659,Anniversary
P062,Holi Luxury Box - Deluxe,Gifts,1647,Holi
P063,Holi Gift Hamper - Premium,Gifts,1631,Holi
P064,Holi Lilies - Standard,Flowers,858,Holi
P065,Birthday Mini Teddy - Standard,Soft Toys,1184,Birthday
P066,Valentine's Day Chocolate Box - Deluxe,Sweets,981,Valentine's Day
P067,Holi Kaju Katli - Premium,Sweets,1018,Holi
P068,Christmas Money Plant - Standard,Plants,721,Christmas
P069,Christmas Roses - Premium,Flowers,1019,Christmas
P070,Christmas Roses - Standard,Flowers,942,Christmas
P071,Anniversary Chocolate Box - Deluxe,Sweets,995,Anniversary
P072,Holi Teddy Bear - Premium,Soft Toys,1158,Holi
P073,Raksha Bandhan Bamboo Plant - Deluxe,Plants,660,Raksha Bandhan
P074,Father Day Mug - Standard,Gifts,1578,Father Day
P075,Holi Luxury Box - Premium,Gifts,1443,Holi
P076,All Occasions Vanilla Cake - Standard,Cakes,822,All Occasions
P077,Raksha Bandhan Roses - Premium,Flowers,872,Raksha Bandhan
P078,Mother Day Mug - Deluxe,Gifts,1470,Mother Day
P079,Father Day Mug - Premium,Gifts,1675,Father Day
P080,All Occasions Black Forest - Premium,Cakes,847,All Occasions
P081,Diwali Vanilla Cake - Deluxe,Cakes,727,Diwali
P082,Holi Mixed Flowers - Standard,Flowers,899,Holi
P083,Christmas Assorted Sweets - Deluxe,Sweets,1153,Christmas
P084,Christmas Bamboo Plant - Premium,Plants,727,Christmas
P085,New Year Chocolate Cake - Deluxe,Cakes,715,New Year
P086,Valentine's Day Teddy Bear - Premium,Soft Toys,1215,Valentine's Day
P087,Mother Day Teddy Bear - Premium,Soft Toys,1389,Mother Day
P088,New Year Assorted Sweets - Standard,Sweets,1193,New Year
P089,Anniversary Mini Teddy - Premium,Soft Toys,1377,Anniversary
P090,Birthday Bamboo Plant - Standard,Plants,717,Birthday
P091,Anniversary Orchid Plant - Standard,Plants,652,Anniversary
P092,Birthday Photo Frame - Premium,Gifts,1444,Birthday
P093,New Year Roses - Standard,Flowers,979,New Year
P094,Father Day Bamboo Plant - Standard,Plants,571,Father Day
P095,Valentine's Day Chocolate Cake - Deluxe,Cakes,879,Valentine's Day
P096,Mother Day Mini Teddy - Deluxe,Soft Toys,1186,Mother Day
P097,Holi Bamboo Plant - Premium,Plants,793,Holi
P098,Raksha Bandhan Assorted Sweets - Standard,Sweets,969,Raksha Bandhan
P099,Christmas Lilies - Deluxe,Flowers,864,Christmas
P100,Diwali Black Forest - Deluxe,Cakes,864,Diwali
